HGNC_Symbol,dataset,LFC,p
CYB561,CommonMind_DLPFC,0,0.9404
CYB561,Deep_Neurons,0.06,0.44275
CYB561,Superficial_Neurons,0.06,0.4419
CYB561,Superficial_Deep_Neurons,0.11,0.29952
CYB561,Lewis_2017_L3,-0.42,0.11263
CYB561,Lewis_2017_L5,-0.1,0.7278
CYB561,Lewis_2015_L3,-0.39,0.01967
CYB561,Lewis_2015_L5,-0.25,0.13948
CYB561,barnesAll,-0.03,0.83178
CYB561,barnesFemale,-0.13,0.4946
CYB561,barnesMale,0.05,0.61997
CYB561,Iwamoto_BA10_SCZ,0.38,0.13069
CYB561,Iwamoto_BA46_SCZ,0,0.73681
CYB561,MaycoxAll,-0.02,0.67598
CYB561,MaycoxFemale,0.01,0.60746
CYB561,MaycoxMale,-0.05,0.64605
CYB561,PietersenAllParvalbumin,-0.05,0.77782
CYB561,PietersenAllPyramidal,-0.1,0.55604
CYB561,PietersenFemaleParvalbumin,-0.16,0.66604
CYB561,PietersenFemalePyramidal,-0.04,0.62501
CYB561,PietersenMaleParvalbumin,0.07,0.81386
CYB561,PietersenMalePyramidal,-0.17,0.70475
PRKX,hiPSC_Neuron,0.47,0.00357
PRKX,BloodmRNA,0.29,0.27
PRKX,DISC1_RNA,-0.41,0.07986
PRKX,gandalMicro,0.08,9.2e-4
PRKX,gandalRNAseq,0.14,0.00663
PRKX,hiPSC_NPC1,0.18,0.24274
PRKX,MtSinaiACC,-0.17,0.56583
PRKX,MtSinaiDLPFC,-0.18,0.51131
PRKX,MtSinaiMTA,-0.1,0.669
PRKX,MtSinaiTPA,-0.09,0.75538
PRKX,Stanley,0.07,0.12648
PRKX,CommonMind_DLPFC,0,0.8979
PRKX,Deep_Neurons,NA,NA
PRKX,Superficial_Neurons,NA,NA
PRKX,Superficial_Deep_Neurons,NA,NA
PRKX,Lewis_2017_L3,0.06,0.21475
PRKX,Lewis_2017_L5,0.16,0.14968
PRKX,Lewis_2015_L3,0.13,0.12291
PRKX,Lewis_2015_L5,-0.07,0.37263
PRKX,barnesAll,0.21,0.36929
PRKX,barnesFemale,0.07,0.81827
PRKX,barnesMale,0.36,0.29725
PRKX,Iwamoto_BA10_SCZ,0.58,0.14252
PRKX,Iwamoto_BA46_SCZ,0.21,0.03796
PRKX,MaycoxAll,0.28,0.00708
PRKX,MaycoxFemale,0.38,0.07491
PRKX,MaycoxMale,0.43,0.01852
PRKX,PietersenAllParvalbumin,0.16,0.42926
PRKX,PietersenAllPyramidal,-0.25,0.63242
PRKX,PietersenFemaleParvalbumin,0.74,0.26801
PRKX,PietersenFemalePyramidal,0.95,0.27345
PRKX,PietersenMaleParvalbumin,-0.43,0.33168
PRKX,PietersenMalePyramidal,-0.33,0.50934
RGS2,hiPSC_Neuron,-0.64,0.00612
RGS2,BloodmRNA,-0.67,0.166
RGS2,DISC1_RNA,0.75,0.01558
RGS2,gandalMicro,0.03,0.43267
RGS2,gandalRNAseq,-0.06,0.36735
RGS2,hiPSC_NPC1,-0.02,0.93053
RGS2,MtSinaiACC,0.31,0.0434
RGS2,MtSinaiDLPFC,0.29,0.57987
RGS2,MtSinaiMTA,-0.12,0.27268
RGS2,MtSinaiTPA,-0.04,0.88872
RGS2,Stanley,-0.06,0.24888
RGS2,CommonMind_DLPFC,0.02,0.3993
RGS2,Deep_Neurons,-0.12,0.24853
RGS2,Superficial_Neurons,-0.11,0.31191
RGS2,Superficial_Deep_Neurons,-0.22,0.1453
RGS2,Lewis_2017_L3,-0.16,0.11086
RGS2,Lewis_2017_L5,0.01,0.91764
RGS2,Lewis_2015_L3,-0.05,0.5301
RGS2,Lewis_2015_L5,-0.03,0.69797
RGS2,barnesAll,0.26,0.16929
RGS2,barnesFemale,0.11,0.56562
RGS2,barnesMale,0.36,0.22805
RGS2,Iwamoto_BA10_SCZ,0.24,0.10167
RGS2,Iwamoto_BA46_SCZ,-0.02,0.8406
RGS2,MaycoxAll,0.2,0.12909
RGS2,MaycoxFemale,0.15,0.25978
RGS2,MaycoxMale,0.2,0.37058
RGS2,PietersenAllParvalbumin,-0.76,0.31979
RGS2,PietersenAllPyramidal,-0.05,0.94718
RGS2,PietersenFemaleParvalbumin,-0.56,0.58553
RGS2,PietersenFemalePyramidal,-0.25,0.77758
RGS2,PietersenMaleParvalbumin,-0.96,0.40896
RGS2,PietersenMalePyramidal,0.21,0.84036
CLTB,hiPSC_Neuron,-0.27,0.0114
CLTB,BloodmRNA,-0.25,0.244
CLTB,DISC1_RNA,0.35,0.09959
CLTB,gandalMicro,-0.05,0.00214
CLTB,gandalRNAseq,-0.07,0.09422
CLTB,hiPSC_NPC1,-0.21,0.05235
CLTB,MtSinaiACC,0.2,0.257
CLTB,MtSinaiDLPFC,-0.22,0.08944
CLTB,MtSinaiMTA,0.16,0.30962
CLTB,MtSinaiTPA,0.22,0.16294
CLTB,Stanley,-0.03,0.23202
CLTB,CommonMind_DLPFC,0,0.8779
CLTB,Deep_Neurons,0.02,0.82233
CLTB,Superficial_Neurons,0,0.9845
CLTB,Superficial_Deep_Neurons,0.02,0.87059
CLTB,Lewis_2017_L3,-0.2,0.22244
CLTB,Lewis_2017_L5,-0.04,0.81023
CLTB,Lewis_2015_L3,-0.08,0.46937
CLTB,Lewis_2015_L5,-0.15,0.16451
CLTB,barnesAll,-0.22,0.33993
CLTB,barnesFemale,-0.39,0.33656
CLTB,barnesMale,-0.09,0.6021
CLTB,Iwamoto_BA10_SCZ,0.01,0.48721
CLTB,Iwamoto_BA46_SCZ,-0.11,0.4043
CLTB,MaycoxAll,0.06,0.57739
CLTB,MaycoxFemale,-0.04,0.62708
CLTB,MaycoxMale,0.05,0.34429
CLTB,PietersenAllParvalbumin,-0.38,0.30867
CLTB,PietersenAllPyramidal,0.69,0.25273
CLTB,PietersenFemaleParvalbumin,-0.78,0.15863
CLTB,PietersenFemalePyramidal,0.75,0.36962
CLTB,PietersenMaleParvalbumin,0.03,0.9237
CLTB,PietersenMalePyramidal,0.61,0.47881
UBE2A,hiPSC_Neuron,-0.15,0.01239
UBE2A,BloodmRNA,0.16,0.583
UBE2A,DISC1_RNA,-1.05,0.00113
UBE2A,gandalMicro,-0.01,0.60508
UBE2A,gandalRNAseq,0,0.97817
UBE2A,hiPSC_NPC1,-0.02,0.6943
UBE2A,MtSinaiACC,0.08,0.48666
UBE2A,MtSinaiDLPFC,0.37,0.36988
UBE2A,MtSinaiMTA,-0.01,0.9392
UBE2A,MtSinaiTPA,0.03,0.75477
UBE2A,Stanley,-0.02,0.51237
UBE2A,CommonMind_DLPFC,-0.01,0.2281
UBE2A,Deep_Neurons,NA,NA
UBE2A,Superficial_Neurons,NA,NA
UBE2A,Superficial_Deep_Neurons,NA,NA
UBE2A,Lewis_2017_L3,-0.1,0.61563
UBE2A,Lewis_2017_L5,-0.06,0.78347
UBE2A,Lewis_2015_L3,-0.28,0.05583
UBE2A,Lewis_2015_L5,-0.23,0.11552
UBE2A,barnesAll,-0.04,0.55313
UBE2A,barnesFemale,-0.18,0.16491
UBE2A,barnesMale,0.07,0.51017
UBE2A,Iwamoto_BA10_SCZ,0,0.98658
UBE2A,Iwamoto_BA46_SCZ,-0.06,0.02237
UBE2A,MaycoxAll,-0.02,0.76844
UBE2A,MaycoxFemale,-0.06,0.53916
UBE2A,MaycoxMale,0.02,0.71668
UBE2A,PietersenAllParvalbumin,-0.63,0.32987
UBE2A,PietersenAllPyramidal,-0.22,0.70668
UBE2A,PietersenFemaleParvalbumin,-0.18,0.51556
UBE2A,PietersenFemalePyramidal,-0.01,0.89151
UBE2A,PietersenMaleParvalbumin,-1.09,0.30338
UBE2A,PietersenMalePyramidal,-0.48,0.63309
TMEM97,hiPSC_Neuron,0.37,0.01274
TMEM97,BloodmRNA,NA,NA
TMEM97,DISC1_RNA,-0.1,0.82175
TMEM97,gandalMicro,0.03,0.20754
TMEM97,gandalRNAseq,-0.03,0.22605
TMEM97,hiPSC_NPC1,0.2,0.15686
TMEM97,MtSinaiACC,0.35,0.00775
TMEM97,MtSinaiDLPFC,0.58,0.37803
TMEM97,MtSinaiMTA,-0.18,0.2211
TMEM97,MtSinaiTPA,-0.11,0.33429
TMEM97,Stanley,-0.03,0.39676
TMEM97,CommonMind_DLPFC,-0.02,0.3631
TMEM97,Deep_Neurons,-0.1,0.32536
TMEM97,Superficial_Neurons,-0.1,0.31391
TMEM97,Superficial_Deep_Neurons,-0.2,0.1797
TMEM97,Lewis_2017_L3,0,0.99086
TMEM97,Lewis_2017_L5,0.09,0.66967
TMEM97,Lewis_2015_L3,-0.11,0.40998
TMEM97,Lewis_2015_L5,0.03,0.8443
TMEM97,barnesAll,-0.11,0.29425
TMEM97,barnesFemale,-0.14,0.39696
TMEM97,barnesMale,-0.08,0.5407
TMEM97,Iwamoto_BA10_SCZ,-0.09,0.52874
TMEM97,Iwamoto_BA46_SCZ,-0.14,0.13831
TMEM97,MaycoxAll,0.02,0.70177
TMEM97,MaycoxFemale,-0.09,0.45959
TMEM97,MaycoxMale,0.06,0.65783
TMEM97,PietersenAllParvalbumin,-0.48,0.43406
TMEM97,PietersenAllPyramidal,-0.05,0.63306
TMEM97,PietersenFemaleParvalbumin,-0.31,0.59897
TMEM97,PietersenFemalePyramidal,-0.2,0.44712
TMEM97,PietersenMaleParvalbumin,-0.65,0.51862
TMEM97,PietersenMalePyramidal,0.14,0.84974
DNAJB6,hiPSC_Neuron,-0.15,0.01295
DNAJB6,BloodmRNA,0.25,0.0729
DNAJB6,DISC1_RNA,-0.27,0.19412
DNAJB6,gandalMicro,-0.07,0.02374
DNAJB6,gandalRNAseq,-0.03,0.31693
DNAJB6,hiPSC_NPC1,0.01,0.87157
DNAJB6,MtSinaiACC,-0.03,0.90304
DNAJB6,MtSinaiDLPFC,0.18,0.44477
DNAJB6,MtSinaiMTA,0.39,0.05521
DNAJB6,MtSinaiTPA,0.13,0.48441
DNAJB6,Stanley,-0.04,0.26118
DNAJB6,CommonMind_DLPFC,-0.01,0.5974
DNAJB6,Deep_Neurons,0.11,0.42984
DNAJB6,Superficial_Neurons,0.12,0.40334
DNAJB6,Superficial_Deep_Neurons,0.22,0.27246
DNAJB6,Lewis_2017_L3,-0.25,0.00659
DNAJB6,Lewis_2017_L5,-0.29,0.00254
DNAJB6,Lewis_2015_L3,-0.13,0.03744
DNAJB6,Lewis_2015_L5,-0.24,1.1e-4
DNAJB6,barnesAll,0.07,0.53417
DNAJB6,barnesFemale,-0.23,0.2852
DNAJB6,barnesMale,0.04,0.79882
DNAJB6,Iwamoto_BA10_SCZ,-0.1,0.45004
DNAJB6,Iwamoto_BA46_SCZ,-0.39,0.00246
DNAJB6,MaycoxAll,0.07,0.56611
DNAJB6,MaycoxFemale,0.15,0.41451
DNAJB6,MaycoxMale,0.08,0.61166
DNAJB6,PietersenAllParvalbumin,-0.16,0.42204
DNAJB6,PietersenAllPyramidal,-0.04,0.31572
DNAJB6,PietersenFemaleParvalbumin,-0.3,0.41076
DNAJB6,PietersenFemalePyramidal,0.41,0.2068
DNAJB6,PietersenMaleParvalbumin,-0.03,0.3688
DNAJB6,PietersenMalePyramidal,-0.6,0.51769
P4HTM,hiPSC_Neuron,-0.21,0.01505
P4HTM,BloodmRNA,0.1,0.453
P4HTM,DISC1_RNA,-0.22,0.24015
P4HTM,gandalMicro,-0.04,0.00968
P4HTM,gandalRNAseq,-0.01,0.73889
P4HTM,hiPSC_NPC1,-0.11,0.19693
P4HTM,MtSinaiACC,0.15,0.2034
P4HTM,MtSinaiDLPFC,-0.18,0.07504
P4HTM,MtSinaiMTA,0.05,0.64707
P4HTM,MtSinaiTPA,0.06,0.52235
P4HTM,Stanley,0.01,0.83779
P4HTM,CommonMind_DLPFC,-0.01,0.2608
P4HTM,Deep_Neurons,-0.03,0.71503
P4HTM,Superficial_Neurons,-0.04,0.63969
P4HTM,Superficial_Deep_Neurons,-0.07,0.57213
P4HTM,Lewis_2017_L3,-0.16,0.30175
P4HTM,Lewis_2017_L5,-0.37,0.0273
P4HTM,Lewis_2015_L3,-0.23,0.047
P4HTM,Lewis_2015_L5,-0.3,0.01094
P4HTM,barnesAll,-0.11,0.2111
P4HTM,barnesFemale,-0.25,0.07121
P4HTM,barnesMale,0,0.97224
P4HTM,Iwamoto_BA10_SCZ,NA,NA
P4HTM,Iwamoto_BA46_SCZ,0,0.99735
P4HTM,MaycoxAll,-0.1,0.08211
P4HTM,MaycoxFemale,-0.14,0.18503
P4HTM,MaycoxMale,-0.1,0.20321
P4HTM,PietersenAllParvalbumin,-0.28,0.6703
P4HTM,PietersenAllPyramidal,0.2,0.79717
P4HTM,PietersenFemaleParvalbumin,-0.16,0.87348
P4HTM,PietersenFemalePyramidal,0.27,0.80622
P4HTM,PietersenMaleParvalbumin,-0.41,0.6826
P4HTM,PietersenMalePyramidal,0.1,0.92192
TSPAN6,hiPSC_Neuron,-0.22,0.01721
TSPAN6,BloodmRNA,-0.27,0.374
TSPAN6,DISC1_RNA,-1.57,2.7e-4
TSPAN6,gandalMicro,0.1,4.3e-4
TSPAN6,gandalRNAseq,0.04,0.21679
TSPAN6,hiPSC_NPC1,0.06,0.49823
TSPAN6,MtSinaiACC,-0.05,0.77628
TSPAN6,MtSinaiDLPFC,-0.12,0.51033
TSPAN6,MtSinaiMTA,0.2,0.32411
TSPAN6,MtSinaiTPA,0.01,0.95027
TSPAN6,Stanley,0.02,0.36101
TSPAN6,CommonMind_DLPFC,0.04,0.07926
TSPAN6,Deep_Neurons,NA,NA
TSPAN6,Superficial_Neurons,NA,NA
TSPAN6,Superficial_Deep_Neurons,NA,NA
TSPAN6,Lewis_2017_L3,-0.48,0.14522
TSPAN6,Lewis_2017_L5,0.55,0.11328
TSPAN6,Lewis_2015_L3,0.07,0.70708
TSPAN6,Lewis_2015_L5,0.13,0.49071
TSPAN6,barnesAll,0.15,0.34343
TSPAN6,barnesFemale,0.17,0.37449
TSPAN6,barnesMale,0.15,0.49537
TSPAN6,Iwamoto_BA10_SCZ,0.1,0.36879
TSPAN6,Iwamoto_BA46_SCZ,0.2,0.09363
TSPAN6,MaycoxAll,-0.02,0.87533
TSPAN6,MaycoxFemale,0,0.932
TSPAN6,MaycoxMale,0,0.90522
TSPAN6,PietersenAllParvalbumin,0.18,0.47501
TSPAN6,PietersenAllPyramidal,-0.17,0.23793
TSPAN6,PietersenFemaleParvalbumin,1.05,0.3455
TSPAN6,PietersenFemalePyramidal,-0.02,0.244
TSPAN6,PietersenMaleParvalbumin,-0.7,0.52046
TSPAN6,PietersenMalePyramidal,-0.36,0.64499
NENF,hiPSC_Neuron,-0.25,0.01734
NENF,BloodmRNA,0.23,0.404
NENF,DISC1_RNA,0.12,0.60849
NENF,gandalMicro,-0.04,0.07021
NENF,gandalRNAseq,-0.02,0.41343
NENF,hiPSC_NPC1,-0.09,0.41168
NENF,MtSinaiACC,-0.17,0.39325
NENF,MtSinaiDLPFC,0.17,0.32782
NENF,MtSinaiMTA,0.33,0.07427
NENF,MtSinaiTPA,-0.28,0.35283
NENF,Stanley,0,0.99278
NENF,CommonMind_DLPFC,0.01,0.4999
NENF,Deep_Neurons,0.13,0.2765
NENF,Superficial_Neurons,0.12,0.32297
NENF,Superficial_Deep_Neurons,0.26,0.16219
NENF,Lewis_2017_L3,-0.05,0.72261
NENF,Lewis_2017_L5,-0.2,0.1872
NENF,Lewis_2015_L3,-0.33,0.00395
NENF,Lewis_2015_L5,-0.55,0
NENF,barnesAll,0.49,0.20127
NENF,barnesFemale,0.43,0.37761
NENF,barnesMale,0.22,0.22195
NENF,Iwamoto_BA10_SCZ,0.22,0.41877
NENF,Iwamoto_BA46_SCZ,-0.01,0.3767
NENF,MaycoxAll,0.08,0.41791
NENF,MaycoxFemale,-0.05,0.5041
NENF,MaycoxMale,0.07,0.53996
NENF,PietersenAllParvalbumin,-0.04,0.64986
NENF,PietersenAllPyramidal,-0.24,0.65587
NENF,PietersenFemaleParvalbumin,0.56,0.46432
NENF,PietersenFemalePyramidal,-0.18,0.79146
NENF,PietersenMaleParvalbumin,-0.64,0.55125
NENF,PietersenMalePyramidal,-0.32,0.72175
TLR4,hiPSC_Neuron,-0.67,0.01777
TLR4,BloodmRNA,-0.38,0.121
TLR4,DISC1_RNA,-2.16,0.02082
TLR4,gandalMicro,0.16,2.5e-4
TLR4,gandalRNAseq,-0.03,0.50664
TLR4,hiPSC_NPC1,-0.2,0.50951
TLR4,MtSinaiACC,0.14,0.57949
TLR4,MtSinaiDLPFC,0.27,0.27837
TLR4,MtSinaiMTA,0.11,0.65415
TLR4,MtSinaiTPA,0.22,0.39902
TLR4,Stanley,0.02,0.46468
TLR4,CommonMind_DLPFC,0.07,0.02525
TLR4,Deep_Neurons,-0.07,0.39495
TLR4,Superficial_Neurons,-0.08,0.3621
TLR4,Superficial_Deep_Neurons,-0.15,0.23431
TLR4,Lewis_2017_L3,0.19,0.11004
TLR4,Lewis_2017_L5,0.11,0.37341
TLR4,Lewis_2015_L3,0.1,0.38661
TLR4,Lewis_2015_L5,0.11,0.33
TLR4,barnesAll,0.18,0.52768
TLR4,barnesFemale,-0.57,0.38232
TLR4,barnesMale,0.59,0.30364
TLR4,Iwamoto_BA10_SCZ,NA,NA
TLR4,Iwamoto_BA46_SCZ,0.11,0.43784
TLR4,MaycoxAll,0.05,0.69382
TLR4,MaycoxFemale,-0.03,0.8187
TLR4,MaycoxMale,0.13,0.5809
TLR4,PietersenAllParvalbumin,-0.03,0.86098
TLR4,PietersenAllPyramidal,-0.61,0.14347
TLR4,PietersenFemaleParvalbumin,0.92,0.37493
TLR4,PietersenFemalePyramidal,-0.48,0.273
TLR4,PietersenMaleParvalbumin,-0.97,0.34719
TLR4,PietersenMalePyramidal,-0.76,0.35091
CRELD2,hiPSC_Neuron,-0.26,0.02029
CRELD2,BloodmRNA,0.08,0.782
CRELD2,DISC1_RNA,-0.02,0.92241
CRELD2,gandalMicro,0.01,0.53211
CRELD2,gandalRNAseq,0.07,0.00459
CRELD2,hiPSC_NPC1,-0.11,0.32787
CRELD2,MtSinaiACC,-0.01,0.94127
CRELD2,MtSinaiDLPFC,0.02,0.86773
CRELD2,MtSinaiMTA,0.26,0.02081
CRELD2,MtSinaiTPA,0.05,0.8232
CRELD2,Stanley,0.04,0.32437
CRELD2,CommonMind_DLPFC,0.03,0.1881
CRELD2,Deep_Neurons,-0.04,0.55173
CRELD2,Superficial_Neurons,-0.04,0.58742
CRELD2,Superficial_Deep_Neurons,-0.08,0.44213
CRELD2,Lewis_2017_L3,-0.14,0.54212
CRELD2,Lewis_2017_L5,-0.12,0.6175
CRELD2,Lewis_2015_L3,-0.4,0.01229
CRELD2,Lewis_2015_L5,-0.36,0.02641
CRELD2,barnesAll,0.05,0.51293
CRELD2,barnesFemale,0,0.97143
CRELD2,barnesMale,0.1,0.4194
CRELD2,Iwamoto_BA10_SCZ,NA,NA
CRELD2,Iwamoto_BA46_SCZ,-0.05,0.59641
CRELD2,MaycoxAll,0.02,0.808
CRELD2,MaycoxFemale,0.02,0.91659
CRELD2,MaycoxMale,-0.01,0.92881
CRELD2,PietersenAllParvalbumin,-1.02,0.14912
CRELD2,PietersenAllPyramidal,0.16,0.80051
CRELD2,PietersenFemaleParvalbumin,-0.78,0.42971
CRELD2,PietersenFemalePyramidal,0.17,0.84374
CRELD2,PietersenMaleParvalbumin,-1.27,0.24832
CRELD2,PietersenMalePyramidal,0.14,0.89097
KIT,hiPSC_Neuron,-1.15,0.02084
KIT,BloodmRNA,NA,NA
KIT,DISC1_RNA,-0.33,0.29714
KIT,gandalMicro,-0.05,0.11704
KIT,gandalRNAseq,-0.05,0.31127
KIT,hiPSC_NPC1,0.37,0.45311
KIT,MtSinaiACC,0.45,0.0542
KIT,MtSinaiDLPFC,0.19,0.36386
KIT,MtSinaiMTA,0.06,0.72801
KIT,MtSinaiTPA,0.34,0.09653
KIT,Stanley,-0.03,0.59594
KIT,CommonMind_DLPFC,0.07,0.01459
KIT,Deep_Neurons,0.05,0.64133
KIT,Superficial_Neurons,0.08,0.46849
KIT,Superficial_Deep_Neurons,0.12,0.41906
KIT,Lewis_2017_L3,-0.11,0.57459
KIT,Lewis_2017_L5,-0.4,0.05904
KIT,Lewis_2015_L3,-0.08,0.66001
KIT,Lewis_2015_L5,0.13,0.4721
KIT,barnesAll,0.03,0.90313
KIT,barnesFemale,0.42,0.31553
KIT,barnesMale,-0.29,0.4053
KIT,Iwamoto_BA10_SCZ,-0.47,0.19282
KIT,Iwamoto_BA46_SCZ,0.07,0.50426
KIT,MaycoxAll,0.08,0.58989
KIT,MaycoxFemale,0.21,0.41268
KIT,MaycoxMale,-0.07,0.73787
KIT,PietersenAllParvalbumin,1.05,0.27719
KIT,PietersenAllPyramidal,-0.42,0.61218
KIT,PietersenFemaleParvalbumin,1.11,0.21997
KIT,PietersenFemalePyramidal,0.52,0.62281
KIT,PietersenMaleParvalbumin,0.98,0.54633
KIT,PietersenMalePyramidal,-1.6,0.15241
HPRT1,hiPSC_Neuron,-0.4,0.02115
HPRT1,BloodmRNA,0.1,0.43
HPRT1,DISC1_RNA,0.01,0.96479
HPRT1,gandalMicro,-0.06,0.03008
HPRT1,gandalRNAseq,0,0.97777
HPRT1,hiPSC_NPC1,-0.23,0.17789
HPRT1,MtSinaiACC,0.34,0.16001
HPRT1,MtSinaiDLPFC,0.01,0.91454
HPRT1,MtSinaiMTA,0.07,0.69931
HPRT1,MtSinaiTPA,0.2,0.27496
HPRT1,Stanley,-0.03,0.61697
HPRT1,CommonMind_DLPFC,-0.02,0.286
HPRT1,Deep_Neurons,NA,NA
HPRT1,Superficial_Neurons,NA,NA
HPRT1,Superficial_Deep_Neurons,NA,NA
HPRT1,Lewis_2017_L3,0.03,0.69966
HPRT1,Lewis_2017_L5,-0.06,0.47888
HPRT1,Lewis_2015_L3,-0.21,0.00174
HPRT1,Lewis_2015_L5,-0.15,0.02545
HPRT1,barnesAll,0.11,0.65681
HPRT1,barnesFemale,-0.19,0.47592
HPRT1,barnesMale,0.35,0.27476
HPRT1,Iwamoto_BA10_SCZ,0.01,0.94736
HPRT1,Iwamoto_BA46_SCZ,0.16,0.29314
HPRT1,MaycoxAll,0.06,0.50169
HPRT1,MaycoxFemale,-0.32,0.32561
HPRT1,MaycoxMale,0.15,0.66971
